Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-01,2010103,Branderaa,2010103 - Branderaa - B,"5,200.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-01,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0.00 ,"5,200.00 ",Main - B,Customer,Guest
,,,2019-01-01,1010313,Biotech Gulf Cosmoceutical Company,1010313 - Biotech Gulf Cosmoceutical Company - B,0.00 ,"21,735.00 ",Main - B,Customer,Guest
,,,2019-01-01,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,714.29 ,Main - B,Customer,Guest
,,,2019-01-01,2010104,Aliaf Lighting Est.,2010104 - Aliaf Lighting Est. - B,"15,000.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-01,2010301,VAT on Sales,2010301 - VAT on Sales - B,"1,035.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-01,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,"20,700.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-01,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,"14,285.71 ",Main - B,Customer,Guest
,,,2019-01-01,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,"7,400.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-01,1010102,Petty Cash,1010102 - Petty Cash - B,0.00 ,"7,400.00 ",Main - B,Customer,Guest
,,,2019-01-01,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,431.04 ,0.00 ,Main - B,Customer,Guest
,,,2019-01-01,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0.07 ,0.00 ,Main - B,Customer,Guest
,,,2019-01-01,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,424.86 ,0.00 ,Main - B,Customer,Guest
,,,2019-01-01,5030401,Communication,5030401 - Communication - B,0.00 ,855.97 ,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,"15,000.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-02,2010104,Aliaf Lighting Est.,2010104 - Aliaf Lighting Est. - B,0.00 ,"15,000.00 ",Main - B,Customer,Guest
,,,2019-01-02,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0.00 ,"420,750.00 ",Main - B,Customer,Guest
,,,2019-01-02,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0.00 ,36.60 ,Main - B,Customer,Guest
,,,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,"420,750.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,36.60 ,0.00 ,Main - B,Customer,Guest
,,,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,"2,171.40 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-02,5030102,GOSI,5030102 - GOSI - B,0.00 ,"2,171.40 ",Main - B,Customer,Guest
,,,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,"11,000.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,"5,000.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-02,1010102,Petty Cash,1010102 - Petty Cash - B,0.00 ,"16,000.00 ",Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-03,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,800.00 ,0.00 ,Main - B,Customer,Guest
,,,2019-01-03,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0.00 ,800.00 ,Main - B,Customer,Guest
,,,2019-01-03,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,"420,000.00 ",0.00 ,Main - B,Customer,Guest
,,,2019-01-03,1010102,Petty Cash,1010102 - Petty Cash - B,0.00 ,"420,000.00 ",Main - B,Customer,Guest
